"","year","month","week","jday","date","zone","metric","tempC"
"144",2021,7,30,204,2021-07-23,"mid","min",13.3
"145",2021,7,30,205,2021-07-24,"high","mean",16.06875
"146",2021,7,30,205,2021-07-24,"high","max",30.9
"147",2021,7,30,205,2021-07-24,"high","min",12.7
"148",2021,7,30,205,2021-07-24,"mid","mean",14.7909722222222
"149",2021,7,30,205,2021-07-24,"mid","max",16.7
"150",2021,7,30,205,2021-07-24,"mid","min",13.1
"151",2021,7,30,206,2021-07-25,"high","mean",16.1791666666667
"152",2021,7,30,206,2021-07-25,"high","max",25.7
"153",2021,7,30,206,2021-07-25,"high","min",13.3
"154",2021,7,30,206,2021-07-25,"mid","mean",14.9680555555556
"155",2021,7,30,206,2021-07-25,"mid","max",17.4
"156",2021,7,30,206,2021-07-25,"mid","min",13.5
"157",2021,7,30,207,2021-07-26,"high","mean",15.3638888888889
"158",2021,7,30,207,2021-07-26,"high","max",26.8
"159",2021,7,30,207,2021-07-26,"high","min",13.6
"160",2021,7,30,207,2021-07-26,"mid","mean",14.3777777777778
"161",2021,7,30,207,2021-07-26,"mid","max",16.2
"162",2021,7,30,207,2021-07-26,"mid","min",13.5
"163",2021,7,30,208,2021-07-27,"high","mean",17.2291666666667
"164",2021,7,30,208,2021-07-27,"high","max",32.3
"165",2021,7,30,208,2021-07-27,"high","min",13.5
"166",2021,7,30,208,2021-07-27,"mid","mean",15.8314685314685
"167",2021,7,30,208,2021-07-27,"mid","max",30.8
"168",2021,7,30,208,2021-07-27,"mid","min",13.6
"169",2021,7,30,209,2021-07-28,"high","mean",17.2493055555556
"170",2021,7,30,209,2021-07-28,"high","max",30.6
"171",2021,7,30,209,2021-07-28,"high","min",13.6
"172",2021,7,30,209,2021-07-28,"mid","mean",16.4173611111111
"173",2021,7,30,209,2021-07-28,"mid","max",33.1
"174",2021,7,30,209,2021-07-28,"mid","min",13.9
"175",2021,7,30,210,2021-07-29,"high","mean",17.2465277777778
"176",2021,7,30,210,2021-07-29,"high","max",32.4
"177",2021,7,30,210,2021-07-29,"high","min",14.1
"178",2021,7,30,210,2021-07-29,"mid","mean",16.1673611111111
"179",2021,7,30,210,2021-07-29,"mid","max",24.1
"180",2021,7,30,210,2021-07-29,"mid","min",14.4
"181",2021,7,31,211,2021-07-30,"high","mean",17.8076388888889
"182",2021,7,31,211,2021-07-30,"high","max",33.4
"183",2021,7,31,211,2021-07-30,"high","min",14.5
"184",2021,7,31,211,2021-07-30,"mid","mean",16.0354166666667
"185",2021,7,31,211,2021-07-30,"mid","max",18.4
"186",2021,7,31,211,2021-07-30,"mid","min",15
"187",2021,7,31,212,2021-07-31,"high","mean",18.5208333333333
"188",2021,7,31,212,2021-07-31,"high","max",34.9
"189",2021,7,31,212,2021-07-31,"high","min",14.9
"190",2021,7,31,212,2021-07-31,"mid","mean",16.1472222222222
"191",2021,7,31,212,2021-07-31,"mid","max",19.2
"192",2021,7,31,212,2021-07-31,"mid","min",15.1
"193",2021,8,31,213,2021-08-01,"high","mean",17.6659722222222
"194",2021,8,31,213,2021-08-01,"high","max",33.5
"195",2021,8,31,213,2021-08-01,"high","min",12.3
"196",2021,8,31,213,2021-08-01,"mid","mean",16.4013888888889
"197",2021,8,31,213,2021-08-01,"mid","max",18.9
"198",2021,8,31,213,2021-08-01,"mid","min",14.1
"199",2021,8,31,214,2021-08-02,"high","mean",17.9430555555556
"200",2021,8,31,214,2021-08-02,"high","max",32.6
"201",2021,8,31,214,2021-08-02,"high","min",12.2
"202",2021,8,31,214,2021-08-02,"mid","mean",16.7430555555556
"203",2021,8,31,214,2021-08-02,"mid","max",19.6
